"year","subjgrade","fips","state_abbr","state","consortium","nse","nse_se","nse_re","level","nse_re_mark","exclude","is_consortium"
2007,"M4","01","AL","Alabama","",205.20852051,1.46778,0.7917,"Below NAEP Basic",True,False,False
2007,"M4","02","AK","Alaska","",216.25079301,1.33537,0.28572,"NAEP Basic",False,False,False
2007,"M4","04","AZ","Arizona","",213.42522022,1.41028,0.11379,"NAEP Basic",False,False,False
2007,"M4","05","AR","Arkansas","",228.85800443,0.62006,0.19989,"NAEP Basic",False,False,False
2007,"M4","06","CA","California","",225.51799765,0.70202,0.41353,"NAEP Basic",False,False,False
2007,"M4","08","CO","Colorado","",200.74511789,1.61532,0.24238,"Below NAEP Basic",False,False,False
2007,"M4","09","CT","Connecticut","",220.27625815,0.74767,0.10891,"NAEP Basic",False,False,False
2007,"M4","10","DE","Delaware","",225.10970173,0.71205,0.21378,"NAEP Basic",False,False,False
2007,"M4","11","DC","District of Columbia","","","","","",False,False,False
2007,"M4","12","FL","Florida","",229.71759419,0.83613,0.24382,"NAEP Basic",False,False,False
2007,"M4","13","GA","Georgia","",213.38076845,0.83875,0.90291,"NAEP Basic",True,False,False
2007,"M4","15","HI","Hawaii","",237.72915917,0.45884,0.23694,"NAEP Basic",False,False,False
2007,"M4","16","ID","Idaho","",217.23113958,0.88506,0.50667,"NAEP Basic",True,False,False
2007,"M4","17","IL","Illinois","",207.94176981,0.91634,0.25267,"Below NAEP Basic",False,False,False
2007,"M4","18","IN","Indiana","",227.78661907,0.87594,0.57118,"NAEP Basic",True,False,False
2007,"M4","19","IA","Iowa","",219.53475613,1.09087,0.34352,"NAEP Basic",False,False,False
2007,"M4","20","KS","Kansas","",218.64727888,1.25415,0.5042,"NAEP Basic",True,False,False
2007,"M4","21","KY","Kentucky","",229.29038301,1.00377,0.43715,"NAEP Basic",False,False,False
2007,"M4","22","LA","Louisiana","",222.90389373,1.31116,0.29026,"NAEP Basic",False,False,False
2007,"M4","23","ME","Maine","",235.83798194,0.76845,0.18415,"NAEP Basic",False,False,False
2007,"M4","24","MD","Maryland","",206.43850337,1.26067,0.49004,"Below NAEP Basic",False,False,False
2007,"M4","25","MA","Massachusetts","",254.48346576,0.95384,0.26333,"NAEP Proficient",False,False,False
2007,"M4","26","MI","Michigan","",203.75557478,1.58428,0.60412,"Below NAEP Basic",True,False,False
2007,"M4","27","MN","Minnesota","",237.46656009,0.88599,0.2371,"NAEP Basic",False,False,False
2007,"M4","28","MS","Mississippi","",204.40625158,0.78656,0.4749,"Below NAEP Basic",False,False,False
2007,"M4","29","MO","Missouri","",245.06133727,0.77848,0.44075,"NAEP Basic",False,False,False
2007,"M4","30","MT","Montana","",233.76181859,1.00323,0.304,"NAEP Basic",False,False,False
2007,"M4","31","NE","Nebraska","","","","","",False,False,False
2007,"M4","32","NV","Nevada","",223.70975912,1.08896,0.25675,"NAEP Basic",False,False,False
2007,"M4","33","NH","New Hampshire","",238.994906,1.06937,0.6234,"NAEP Basic",True,False,False
2007,"M4","34","NJ","New Jersey","",219.72215394,1.08547,0.3862,"NAEP Basic",False,False,False
2007,"M4","35","NM","New Mexico","",232.90056639,0.82889,0.34966,"NAEP Basic",False,False,False
2007,"M4","36","NY","New York","",219.23801937,0.77541,0.23467,"NAEP Basic",False,False,False
2007,"M4","37","NC","North Carolina","",231.14916076,0.60174,0.25067,"NAEP Basic",False,False,False
2007,"M4","38","ND","North Dakota","",225.66044757,1.0413,0.44662,"NAEP Basic",False,False,False
2007,"M4","39","OH","Ohio","",224.61547362,1.31306,0.47847,"NAEP Basic",False,False,False
2007,"M4","40","OK","Oklahoma","",213.33064645,1.46353,0.79393,"NAEP Basic",True,False,False
2007,"M4","41","OR","Oregon","",220.1980013,0.82081,0.36022,"NAEP Basic",False,False,False
2007,"M4","42","PA","Pennsylvania","",222.97437262,0.87194,0.17035,"NAEP Basic",False,False,False
2007,"M4","44","RI","Rhode Island","",235.83969506,0.69221,0.11257,"NAEP Basic",False,False,False
2007,"M4","45","SC","South Carolina","",245.02763069,0.90174,0.1749,"NAEP Basic",False,False,False
2007,"M4","46","SD","South Dakota","",224.32330648,1.01452,0.21502,"NAEP Basic",False,False,False
2007,"M4","47","TN","Tennessee","",198.08579377,1.29151,0.4131,"Below NAEP Basic",False,False,False
2007,"M4","48","TX","Texas","",216.92179883,0.92714,0.53446,"NAEP Basic",True,False,False
2007,"M4","49","UT","Utah","",223.0,1.2,"","NAEP Basic",False,False,False
2007,"M4","50","VT","Vermont","",239.11958986,1.04993,0.27744,"NAEP Basic",False,False,False
2007,"M4","51","VA","Virginia","",219.30056934,0.93693,0.59163,"NAEP Basic",True,False,False
2007,"M4","53","WA","Washington","",239.86851185,0.80103,0.1745,"NAEP Basic",False,False,False
2007,"M4","54","WV","West Virginia","",216.83417456,1.26138,0.37237,"NAEP Basic",False,False,False
2007,"M4","55","WI","Wisconsin","",222.38893912,2.30945,0.24517,"NAEP Basic",False,False,False
2007,"M4","56","WY","Wyoming","",216.31149913,0.57305,0.50807,"NAEP Basic",True,False,False
2007,"M8","01","AL","Alabama","",253.07709359,1.86601,0.36378,"Below NAEP Basic",False,False,False
2007,"M8","02","AK","Alaska","",265.02519348,1.2255,0.26152,"NAEP Basic",False,False,False
2007,"M8","04","AZ","Arizona","",267.75570236,1.08838,0.0589399999999999,"NAEP Basic",False,False,False
2007,"M8","05","AR","Arkansas","",276.63243464,1.34834,0.07548,"NAEP Basic",False,False,False
2007,"M8","06","CA","California","","","","","",False,False,False
2007,"M8","08","CO","Colorado","",259.02608666,1.32116,0.07126,"Below NAEP Basic",False,False,False
2007,"M8","09","CT","Connecticut","",252.06441537,2.00644,0.0,"Below NAEP Basic",False,False,False
2007,"M8","10","DE","Delaware","",272.19097009,0.91644,0.0214799999999999,"NAEP Basic",False,False,False
2007,"M8","11","DC","District of Columbia","","","","","",False,False,False
2007,"M8","12","FL","Florida","",266.09133752,0.86551,0.01508,"NAEP Basic",False,False,False
2007,"M8","13","GA","Georgia","",242.80810777,1.66136,0.25286,"Below NAEP Basic",False,False,False
2007,"M8","15","HI","Hawaii","",294.13447617,0.75027,0.22998,"NAEP Basic",False,False,False
2007,"M8","16","ID","Idaho","",264.71703392,1.58295,0.0444299999999999,"NAEP Basic",False,False,False
2007,"M8","17","IL","Illinois","",250.56518895,0.84271,0.14726,"Below NAEP Basic",False,False,False
2007,"M8","18","IN","Indiana","",266.28460277,1.56645,0.0816,"NAEP Basic",False,False,False
2007,"M8","19","IA","Iowa","",264.01069499,1.49937,0.12094,"NAEP Basic",False,False,False
2007,"M8","20","KS","Kansas","",270.2952051,1.63376,0.35936,"NAEP Basic",False,False,False
2007,"M8","21","KY","Kentucky","",279.12478908,0.70348,0.15439,"NAEP Basic",False,False,False
2007,"M8","22","LA","Louisiana","",266.88001889,1.23972,0.07735,"NAEP Basic",False,False,False
2007,"M8","23","ME","Maine","",285.7644447,0.88803,0.12241,"NAEP Basic",False,False,False
2007,"M8","24","MD","Maryland","",277.62470602,1.51463,0.0318599999999999,"NAEP Basic",False,False,False
2007,"M8","25","MA","Massachusetts","",302.41272044,1.097,0.06438,"NAEP Proficient",False,False,False
2007,"M8","26","MI","Michigan","",260.22539574,1.46792,0.10899,"NAEP Basic",False,False,False
2007,"M8","27","MN","Minnesota","",285.84083161,0.86238,0.2213,"NAEP Basic",False,False,False
2007,"M8","28","MS","Mississippi","",262.13458459,0.87168,0.02083,"NAEP Basic",False,False,False
2007,"M8","29","MO","Missouri","",288.67873463,1.18776,0.05371,"NAEP Basic",False,False,False
2007,"M8","30","MT","Montana","",281.11730284,1.6674,0.11489,"NAEP Basic",False,False,False
2007,"M8","31","NE","Nebraska","","","","","",False,False,False
2007,"M8","32","NV","Nevada","",266.74839596,1.22531,0.07867,"NAEP Basic",False,False,False
2007,"M8","33","NH","New Hampshire","",282.4085779,0.77729,0.33829,"NAEP Basic",False,False,False
2007,"M8","34","NJ","New Jersey","",272.4124509,0.8065,0.0561899999999999,"NAEP Basic",False,False,False
2007,"M8","35","NM","New Mexico","",285.26788216,0.88577,0.0743999999999999,"NAEP Basic",False,False,False
2007,"M8","36","NY","New York","",272.68397479,1.12244,0.08107,"NAEP Basic",False,False,False
2007,"M8","37","NC","North Carolina","",269.66623644,1.26061,0.0713899999999999,"NAEP Basic",False,False,False
2007,"M8","38","ND","North Dakota","",278.98957356,0.84989,0.2729,"NAEP Basic",False,False,False
2007,"M8","39","OH","Ohio","",264.94506572,1.15289,0.17197,"NAEP Basic",False,False,False
2007,"M8","40","OK","Oklahoma","",248.81230345,1.10925,0.27051,"Below NAEP Basic",False,False,False
2007,"M8","41","OR","Oregon","",262.15119965,1.16491,0.16131,"NAEP Basic",False,False,False
2007,"M8","42","PA","Pennsylvania","",271.2134634,1.01148,0.0957299999999999,"NAEP Basic",False,False,False
2007,"M8","44","RI","Rhode Island","",279.20827163,0.64346,0.0408,"NAEP Basic",False,False,False
2007,"M8","45","SC","South Carolina","",312.24700794,1.39375,0.0,"NAEP Proficient",False,False,False
2007,"M8","46","SD","South Dakota","",270.6458591,0.73007,0.14034,"NAEP Basic",False,False,False
2007,"M8","47","TN","Tennessee","",234.27215851,2.17166,0.41292,"Below NAEP Basic",False,False,False
2007,"M8","48","TX","Texas","",268.26728365,1.0338,0.23269,"NAEP Basic",False,False,False
